Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Port Phillip City Council,Albert Reserve,Albert Park,-37.845315,144.977688,Cricket,1.0,Turf Pitch,,,Roy Street Albert Park 3206,,,,"['Port Phillip City Council', 'Albert Park', 'Sports', 'Cricket']"
Port Phillip City Council,Alma Park Reserve,St Kilda East,-37.860199,144.995726,Cricket,1.0,Synthetic Pitch,1. Very Poor,Male,Westbury Street St Kilda East 3182,,,,"['Port Phillip City Council', 'St Kilda East', 'Sports', 'Cricket']"
Port Phillip City Council,Lagoon Reserve,Port Melbourne,-37.841252,144.94405700000000,Cricket,1.0,Synthetic Pitch,2. Poor,Male,Graham Street Port Melbourne 3207,,,,"['Port Phillip City Council', 'Port Melbourne', 'Sports', 'Cricket']"
Port Phillip City Council,Albert Park Public Golf Course,Albert Park,-37.847567,144.975537,Golf,1.0,18 Hole Course - Public,,,Lakeside Drive Albert Park 3206,,,,"['Port Phillip City Council', 'Albert Park', 'Sports', 'Golf']"
Port Phillip City Council,Melbourne Grammar School,Port Melbourne,-37.834444,144.914699,Hockey,1.0,Artificial Turf,,,Howe Parade Port Melbourne 3207,,,,"['Port Phillip City Council', 'Port Melbourne', 'Sports', 'Hockey']"
Port Phillip City Council,State Bank Pavillion,Albert Park,-37.846266,144.964973,Table Tennis,,,,,Aughtie Drive Albert Park 3206,,,,"['Port Phillip City Council', 'Albert Park', 'Sports', 'Table Tennis']"
Port Phillip City Council,Albert Park Lawn Tennis Club (St Vincent Gardens),Albert Park,-37.839581,144.95372,Tennis (Outdoor),2.0,Artificial Turf,5. Very Good,,St Vincent Place North Albert Park 3206,,,,"['Port Phillip City Council', 'Albert Park', 'Sports', 'Tennis']"
Port Phillip City Council,Morris Reserve,Port Melbourne,-37.837237,144.935247,Tennis (Outdoor),3.0,Hard Court,2. Poor,"Female, Male",Swallow Street Port Melbourne 3207,,,,"['Port Phillip City Council', 'Port Melbourne', 'Sports', 'Tennis']"
Darebin City Council,A H Capp Reserve,Preston,-37.749556,144.982529,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",196 Miller Street Preston 3072,,,,"['Darebin City Council', 'Preston', 'Sports', 'Football']"
Darebin City Council,Bill Lawry Park (Northcote Park),Northcote,-37.782918,145.004754,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Westgarth Street Northcote 3070,,,,"['Darebin City Council', 'Northcote', 'Sports', 'Football']"
Darebin City Council,Crispe Park,Reservoir,-37.72203,144.997474,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Coleman Crescent Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Football']"
Darebin City Council,John Hall Reserve,Kingsbury,-37.712695,145.026415,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Dunne Street Kingsbury 3083,,,,"['Darebin City Council', 'Kingsbury', 'Sports', 'Football']"
Darebin City Council,Pitcher Park,Fairfield,-37.773624,145.028359,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Seperation Street Fairfield 3078,,,,"['Darebin City Council', 'Fairfield', 'Sports', 'Football']"
Darebin City Council,Sir Doug Nicholls Reserve,Thornbury,-37.752729,144.996406,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Watt Street Thornbury 3071,,,,"['Darebin City Council', 'Thornbury', 'Sports', 'Football']"
Darebin City Council,W H Robinson Reserve,West Preston,-37.748012,144.982024,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Halwyn Crescent West Preston 3072,,,,"['Darebin City Council', 'West Preston', 'Sports', 'Football']"
Darebin City Council,Darebin Community Sports Stadium,Reservoir,-37.721381,145.030317,Badminton,,,5. Very Good,"Female, Male, Umpire/Officials",857 Plenty Road Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Badminton']"
Darebin City Council,Merri Park Baseball,Northcote,-37.772682,144.98951600000000,Baseball,1.0,,3. Average,"Female, Male, Umpire/Officials",St Georges Road Northcote 3070,,,,"['Darebin City Council', 'Northcote', 'Sports', 'Baseball']"
Darebin City Council,Judith Scott Memorial Reserve,Kingsbury,-37.718987,145.034413,Basketball,1.0,,4. Good,"Female, Male, Umpire/Officials",Browning Street Kingsbury 3083,,,,"['Darebin City Council', 'Kingsbury', 'Sports', 'Basketball']"
Darebin City Council,Keon Park Youth Club & Community Hall,Keon Park,-37.701083,145.020205,Basketball,,,4. Good,"Female, Male",Dole Avenue Keon Park 3073,,,,"['Darebin City Council', 'Keon Park', 'Sports', 'Basketball']"
Darebin City Council,Northside Boxing Gym,Preston,-37.74,145.00800000000000,Boxing,,,,,25-27 Townhall Avenue Preston 3072,,,,"['Darebin City Council', 'Preston', 'Sports', 'Boxing']"
Darebin City Council,Bundoora Park Oval,Bundoora,-37.706831,145.049992,Cricket,1.0,Synthetic Pitch,3. Average,"Female, Male, Umpire/Officials",Snake Gully Drive Bundoora 3083,,,,"['Darebin City Council', 'Bundoora', 'Sports', 'Cricket']"
Darebin City Council,H L T Oulten Reserve,Preston,-37.74866,145.020144,Cricket,2.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Albert Street Preston 3072,,,,"['Darebin City Council', 'Preston', 'Sports', 'Cricket']"
Darebin City Council,Hayes Park,Thornbury,-37.757127,145.017878,Cricket,2.0,Synthetic Pitch,3. Average,"Female, Male, Umpire/Officials",Flinders Street Thornbury 3071,,,,"['Darebin City Council', 'Thornbury', 'Sports', 'Cricket']"
Darebin City Council,I W Dole Reserve,Reservoir,-37.701694,145.019655,Cricket,1.0,Synthetic Pitch,3. Average,"Female, Male, Umpire/Officials",Dole Avenue Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Cricket']"
Darebin City Council,Bundoora Park Golf Course,Bundoora,-37.705282,145.037219,Golf,,18 Hole Course - Public,4. Good,"Female, Male",1069 Plenty Road Bundoora 3083,,,,"['Darebin City Council', 'Bundoora', 'Sports', 'Golf']"
Darebin City Council,Northcote Golf Course,Thornbury,-37.758619,144.984296,Golf,,9 Hole Course - Public,3. Average,,143 Normanby Avenue Thornbury 3071,,,,"['Darebin City Council', 'Thornbury', 'Sports', 'Golf']"
Darebin City Council,KP Hardiman Reserve,Reservoir,-37.721355,145.031251,Hockey,1.0,,2. Poor,"Female, Male, Umpire/Officials",Plenty Road Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Hockey']"
Darebin City Council,Lakeview Tennis Club,Reservoir,-37.711987,144.99176700000000,Netball,3.0,,,,Leamington Street Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Netball']"
Darebin City Council,B T Connors Reserve,Reservoir,-37.705333,144.981807,Soccer,4.0,Grass,4. Good,"Female, Male, Umpire/Officials",Broadhurst Avenue Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Soccer']"
Darebin City Council,G H Mott Reserve,Preston,-37.744019,145.00997900000000,Soccer,1.0,Grass,2. Poor,"Female, Male",Bell Street Preston 3072,,,,"['Darebin City Council', 'Preston', 'Sports', 'Soccer']"
Darebin City Council,Dunstan Park Tennis,Preston,-37.731145,144.98689300000000,Tennis (Outdoor),3.0,,,,Dunstan Street Preston 3072,,,,"['Darebin City Council', 'Preston', 'Sports', 'Tennis']"
Darebin City Council,GE Robinson Park,Reservoir,-37.72533,145.005512,Tennis (Outdoor),3.0,Clay,3. Average,"Female, Male, Umpire/Officials",High Street Reservoir 3073,,,,"['Darebin City Council', 'Reservoir', 'Sports', 'Tennis']"
Darebin City Council,St Josephs Tennis Courts,Northcote,-37.773851,144.996374,Tennis (Outdoor),2.0,,,,Westbourne Grove Northcote 3070,,,,"['Darebin City Council', 'Northcote', 'Sports', 'Tennis']"
Darebin City Council,Thornbury Church of Christ Tennis Club,Thornbury,-37.763038,144.997151,Tennis (Outdoor),2.0,Clay,,,Spencer Street Thornbury 3071,,,,"['Darebin City Council', 'Thornbury', 'Sports', 'Tennis']"
Hobsons Bay City Council,A.B Shaw Reserve,Altona Meadows,-37.86490300000000,144.782029,Australian Rules Football,3.0,Grass,4. Good,"Male, Umpire/Officials",2 Hall Avenue Altona Meadows 3028,,,,"['Hobsons Bay City Council', 'Altona Meadows', 'Sports', 'Football']"
Hobsons Bay City Council,Bayside College Williamstown,Williamstown,-37.859193,144.884943,Australian Rules Football,2.0,Grass,,,83 Bayview Street Williamstown 3016,,,,"['Hobsons Bay City Council', 'Williamstown', 'Sports', 'Football']"
Hobsons Bay City Council,Croft Reserve,Altona North,-37.827492,144.833396,Australian Rules Football,2.0,Grass,5. Very Good,"Male, Umpire/Officials",Blackshaws Road Altona North 3025,,,,"['Hobsons Bay City Council', 'Altona North', 'Sports', 'Football']"
Hobsons Bay City Council,Donald McLean Reserve,Spotswood,-37.826626,144.883924,Australian Rules Football,2.0,Grass,4. Good,"Male, Umpire/Officials",The Avenue Spotswood 3015,,,,"['Hobsons Bay City Council', 'Spotswood', 'Sports', 'Football']"
Hobsons Bay City Council,J.K Grant Reserve,Altona,-37.862122,144.826574,Australian Rules Football,3.0,Grass,3. Average,"Umpire/Officials, Unisex",Bluegum Drive Altona 3018,,,,"['Hobsons Bay City Council', 'Altona', 'Sports', 'Football']"
Hobsons Bay City Council,Newport Football Ground,Newport,-37.845216,144.88071400000000,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Market Street Newport 3015,,,,"['Hobsons Bay City Council', 'Newport', 'Sports', 'Football']"
Hobsons Bay City Council,Altona Badminton Centre,Altona North,-37.840715,144.858582,Badminton,12.0,Wooden Flooring,4. Good,"Female, Male, Umpire/Officials",Mason Street Altona North 3025,,,,"['Hobsons Bay City Council', 'Altona North', 'Sports', 'Badminton']"
Hobsons Bay City Council,Greenwich Reserve,Williamstown,-37.846978,144.895834,Baseball,1.0,Grass,,,100 The Strand Williamstown 3016,,,,"['Hobsons Bay City Council', 'Williamstown', 'Sports', 'Baseball']"
Hobsons Bay City Council,K.C White Reserve,Williamstown North,-37.853926,144.877322,Baseball,2.0,,4. Good,"Female, Male, Umpire/Officials",120 Park Crescent Williamstown North 3016,,,,"['Hobsons Bay City Council', 'Williamstown North', 'Sports', 'Baseball']"
Hobsons Bay City Council,State Baseball Softball Centre (Melbourne Ballpark),Altona,-37.86073,144.78004100000000,Baseball,2.0,,,,Merton Street Altona 3018,,,,"['Hobsons Bay City Council', 'Altona', 'Sports', 'Baseball']"
Hobsons Bay City Council,Altona Sports Centre,Altona Meadows,-37.876617,144.797079,Basketball,6.0,Wooden Gymnasium,5. Very Good,"Female, Male, Unisex",Queens Street Altona Meadows 3028,,,,"['Hobsons Bay City Council', 'Altona Meadows', 'Sports', 'Basketball']"
Hobsons Bay City Council,Armstrong Reserve,Newport,-37.846977,144.888263,Basketball,1.0,Asphalt,,,79 Wilkins Street Newport 3015,,,,"['Hobsons Bay City Council', 'Newport', 'Sports', 'Basketball']"
Hobsons Bay City Council,A.H Ford Reserve,Altona,-37.86079,144.8136,Cricket,1.0,Synthetic Pitch,,,Belmar Avenue Altona 3018,,,,"['Hobsons Bay City Council', 'Altona', 'Sports', 'Cricket']"
Hobsons Bay City Council,A.W Bond Reserve,Altona North,-37.82761,144.845419,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",21 Duosa Road Altona North 3025,,,,"['Hobsons Bay City Council', 'Altona North', 'Sports', 'Cricket']"
Hobsons Bay City Council,Bayview Reserve,Williamstown,-37.866441,144.884794,Cricket,1.0,Synthetic Pitch,,,1 Bayview Street Williamstown 3016,,,,"['Hobsons Bay City Council', 'Williamstown', 'Sports', 'Cricket']"
Hobsons Bay City Council,Digman Reserve,Newport,-37.839526,144.89014700000000,Cricket,2.0,Synthetic Pitch,1. Very Poor,Male,395 Hobson Street Newport 3015,,,,"['Hobsons Bay City Council', 'Newport', 'Sports', 'Cricket']"
Hobsons Bay City Council,Edwards Reserve,South Kingsville,-37.82761,144.870236,Cricket,1.0,Synthetic Pitch,3. Average,Male,Brunel Street South Kingsville 3015,,,,"['Hobsons Bay City Council', 'South Kingsville', 'Sports', 'Cricket']"
Hobsons Bay City Council,Altona Lakes Golf Course,Altona North,-37.842231,144.85907,Golf,1.0,9 Hole Course - Public,3. Average,,Mason Street Altona North 3025,,,,"['Hobsons Bay City Council', 'Altona North', 'Sports', 'Golf']"
Hobsons Bay City Council,Kooringal Golf Club,Altona,-37.873873,144.811386,Golf,1.0,18 Hole Course - Private,,,Queen Street Altona 3018,,,,"['Hobsons Bay City Council', 'Altona', 'Sports', 'Golf']"
Hobsons Bay City Council,Westgate Golf Course,Spotswood,-37.826635,144.885518,Golf,1.0,9 Hole Course - Public,2. Poor,,Creek Street Spotswood 3015,,,,"['Hobsons Bay City Council', 'Spotswood', 'Sports', 'Golf']"
Hobsons Bay City Council,Westgate Indoor Sports,Altona North,-37.833056,144.825247,Netball (Indoor),,,,,Grieve Parade Altona North 3025,,,,"['Hobsons Bay City Council', 'Altona North', 'Sports', 'Netball']"
Hobsons Bay City Council,Duane Reserve,Brooklyn,-37.823127,144.842645,Soccer,1.0,Grass,4. Good,Male,Primula Avenue Brooklyn 3012,,,,"['Hobsons Bay City Council', 'Brooklyn', 'Sports', 'Soccer']"
Hobsons Bay City Council,H.C Kims Reserve,Seaholme,-37.862034,144.842384,Soccer,3.0,Grass,3. Average,"Male, Umpire/Officials, Unisex",Millers Road Seaholme 3018,,,,"['Hobsons Bay City Council', 'Seaholme', 'Sports', 'Soccer']"
Hobsons Bay City Council,S.J Clement Reserve,Altona North,-37.846729,144.855099,Soccer,1.0,Grass,,,2/14 Mills Street Altona North 3025,,,,"['Hobsons Bay City Council', 'Altona North', 'Sports', 'Soccer']"
Hobsons Bay City Council,Brooklyn Reserve,Brooklyn,-37.822212,144.846135,Tennis (Outdoor),4.0,Hard Court,4. Good,,Cypress Avenue Brooklyn 3012,,,,"['Hobsons Bay City Council', 'Brooklyn', 'Sports', 'Tennis']"
Hobsons Bay City Council,Commonwealth Reserve,Williamstown,-37.862071,144.903398,Tennis (Outdoor),6.0,Hard Court,5. Very Good,,132-140 Nelson Place Williamstown 3016,,,,"['Hobsons Bay City Council', 'Williamstown', 'Sports', 'Tennis']"
Stonnington City Council,Percy Treyvuad Memorial Park,Malvern East,-37.882659,145.080888,Cricket,,Synthetic Pitch,,,Chadstone Road Malvern East 3145,,,,"['Stonnington City Council', 'Malvern East', 'Sports', 'Cricket']"
Stonnington City Council,Basil Reserve,East Malvern,-37.869781,145.065603,Australian Rules Football,1.0,Grass,2. Poor,"Female, Male",5 Basil Street East Malvern 3145,,,,"['Stonnington City Council', 'East Malvern', 'Sports', 'Football']"
Stonnington City Council,Como Park,South Yarra,-37.835668,145.00395,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",305 - 325 Williams Road South Yarra 3141,,,,"['Stonnington City Council', 'South Yarra', 'Sports', 'Football']"
Stonnington City Council,Righetti & Ferrie Reserves,Kooyong,-37.840013,145.03751600000000,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Elizabeth Street Kooyong 3144,,,,"['Stonnington City Council', 'Kooyong', 'Sports', 'Football']"
Stonnington City Council,T.H.King Reserve,Glen Iris,-37.86132,145.060925,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",1650 High Street Glen Iris 3146,,,,"['Stonnington City Council', 'Glen Iris', 'Sports', 'Football']"
Stonnington City Council,Toorak Park,Armadale,-37.852653,145.012601,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",580 Orrong Road Armadale 3143,,,,"['Stonnington City Council', 'Armadale', 'Sports', 'Football']"
Stonnington City Council,Wadsworth Field,Kooyong,-37.838586,145.03548600000000,Baseball,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",458 Glenferrie Road Kooyong 3144,,,,"['Stonnington City Council', 'Kooyong', 'Sports', 'Baseball']"
Stonnington City Council,Orrong Romanis Recreation Centre,Prahran,-37.849669,145.01018100000000,Basketball,2.0,Wooden Gymnasium,4. Good,"Female, Male",2 Molesworth Street Prahran 3181,,,,"['Stonnington City Council', 'Prahran', 'Sports', 'Basketball']"
Stonnington City Council,Penpraze Park,East Malvern,-37.870796,145.037935,Basketball,1.0,Wooden Gymnasium,3. Average,"Female, Male",10 Victoria Road South East Malvern 3145,,,,"['Stonnington City Council', 'East Malvern', 'Sports', 'Basketball']"
Stonnington City Council,South Yarra Sports Centre,South Yarra,-37.836983,144.995195,Basketball,,Wooden Gymnasium,4. Good,"Female, Male",679 Chapel Street South Yarra 3141,,,,"['Stonnington City Council', 'South Yarra', 'Sports', 'Basketball']"
Stonnington City Council,Central Park,East Malvern,-37.865966,145.048626,Cricket,2.0,Synthetic Pitch,3. Average,Unisex,83-141 Burke Road East Malvern 3145,,,,"['Stonnington City Council', 'East Malvern', 'Sports', 'Cricket']"
Stonnington City Council,Gardiner Reserve,Malvern,-37.851236,145.049018,Cricket,1.0,Synthetic Pitch,2. Poor,Male,49-61 Carroll Cresent Malvern 3144,,,,"['Stonnington City Council', 'Malvern', 'Sports', 'Cricket']"
Stonnington City Council,Orrong Park & Romanis Reserve,Prahran,-37.850685,145.010882,Cricket,2.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",603 Orrong Road Prahran 3181,,,,"['Stonnington City Council', 'Prahran', 'Sports', 'Cricket']"
Stonnington City Council,Victory Square,Armadale,-37.853082,145.014303,Cricket,1.0,Synthetic Pitch,2. Poor,Unisex,3 Potter Street Armadale 3143,,,,"['Stonnington City Council', 'Armadale', 'Sports', 'Cricket']"
Stonnington City Council,Vision Australia Cricket Reserves,Kooyong,-37.838133,145.03350600000000,Cricket,2.0,Artificial Turf,3. Average,Unisex,458 Glenferrie Road Kooyong 3144,,,,"['Stonnington City Council', 'Kooyong', 'Sports', 'Cricket']"
Stonnington City Council,Malvern Valley  Golf Club,East Malvern,-37.875927,145.077862,Golf,18.0,18 Hole Course - Public,4. Good,,Golfers Drive East Malvern 3145,,,,"['Stonnington City Council', 'East Malvern', 'Sports', 'Golf']"
Stonnington City Council,Como Park North,South Yarra,-37.832903,145.005507,Soccer,1.0,Grass,,,311 Williams Road South Yarra 3141,,,,"['Stonnington City Council', 'South Yarra', 'Sports', 'Soccer']"
Stonnington City Council,Harold Holt Swim Centre,Glen Iris,-37.857252,145.0442,Swimming,,"25m Pool - Indoor, 50m Pool - Outdoor, Rehabilitation Pool",4. Good,"Female, Male",1409-1413 High Street Glen Iris 3146,,,,"['Stonnington City Council', 'Glen Iris', 'Sports', 'Swimming']"
Stonnington City Council,Prahran Aquatic Centre,Prahran,-37.84834,144.995798,Swimming,1.0,50m Pool - Outdoor,3. Average,"Female, Male",41 Essex Street Prahran 3181,,,,"['Stonnington City Council', 'Prahran', 'Sports', 'Swimming']"
Stonnington City Council,All Saints Tennis Club,East Malvern,-37.875433,145.060176,Tennis (Outdoor),2.0,Hard Court,2. Poor,,Olive Street East Malvern 3145,,,,"['Stonnington City Council', 'East Malvern', 'Sports', 'Tennis']"
Stonnington City Council,East Malvern Tennis Club,Glen Iris,-37.866675,145.062722,Tennis (Outdoor),10.0,Hard Court,4. Good,"Female, Male",20 Moira Street Glen Iris 3146,,,,"['Stonnington City Council', 'Glen Iris', 'Sports', 'Tennis']"
